College Code,College Name,Branch Code,Branch Name,Community,Cutoff marks
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",BS,BIO TECHNOLOGY (SS),OC,193
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",BS,BIO TECHNOLOGY (SS),BC,191
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",BS,BIO TECHNOLOGY (SS),BCM,184.81
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",BS,BIO TECHNOLOGY (SS),MBC,189
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",BS,BIO TECHNOLOGY (SS),SC,170.5
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",BS,BIO TECHNOLOGY (SS),SCA,172.5
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",BS,BIO TECHNOLOGY (SS),ST,0
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",BY,BIO MEDICAL ENGINEERING (SS),OC,192.5
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",BY,BIO MEDICAL ENGINEERING (SS),BC,190.78
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",BY,BIO MEDICAL ENGINEERING (SS),BCM,187.04
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",BY,BIO MEDICAL ENGINEERING (SS),MBC,186
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",BY,BIO MEDICAL ENGINEERING (SS),SC,168
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",BY,BIO MEDICAL ENGINEERING (SS),SCA,167.5
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",BY,BIO MEDICAL ENGINEERING (SS),ST,0
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",CE,CIVIL ENGINEERING,OC,193
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",CE,CIVIL ENGINEERING,BC,191
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",CE,CIVIL ENGINEERING,BCM,185.75
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",CE,CIVIL ENGINEERING,MBC,184
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",CE,CIVIL ENGINEERING,SC,172.5
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",CE,CIVIL ENGINEERING,SCA,180
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",CE,CIVIL ENGINEERING,ST,0
